,discipline,SPMDIR,PARCOACH-static,PARCOACH-dynamic,RMASanitizer-NoOpt
001-MPI-conflict-put-load-local-no.c,conflict,TN,TN,TN,TN
002-MPI-conflict-put-store-local-yes.c,conflict,TP,TP,TP,TP
003-MPI-conflict-put-put-local-no.c,conflict,TN,TN,TN,TN
004-MPI-conflict-get-load-local-yes.c,conflict,TP,TP,TP,TP
005-MPI-conflict-get-store-local-yes.c,conflict,TP,TP,TP,TP
006-MPI-conflict-get-put-local-yes.c,conflict,TP,TP,TP,TP
007-MPI-conflict-get-get-local-yes.c,conflict,TP,TP,TP,TP
008-MPI-conflict-acc-store-local-yes.c,conflict,TP,FN,TP,TP
009-MPI-conflict-acc-load-local-no.c,conflict,TN,TN,TN,TN
010-MPI-conflict-gacc-store-local-yes.c,conflict,TP,FN,FN,TP
011-MPI-conflict-gacc-load-local-yes.c,conflict,TP,FN,FN,TP
012-MPI-conflict-fop-store-local-yes.c,conflict,TP,FN,FN,TP
013-MPI-conflict-fop-load-local-yes.c,conflict,TP,FN,FN,TP
014-MPI-conflict-cas-store-local-yes.c,conflict,TP,FN,FN,TP
015-MPI-conflict-cas-load-local-yes.c,conflict,TP,FN,FN,TP
001-MPI-sync-fence-local-yes.c,sync,TP,TP,TP,TP
002-MPI-sync-fence-local-no.c,sync,TN,TN,TN,TN
003-MPI-sync-lock-local-yes.c,sync,TP,TP,TO,TP
004-MPI-sync-lock-local-no.c,sync,TN,FP,TO,TN
005-MPI-sync-lock-flush-local-yes.c,sync,TP,TP,TO,TP
006-MPI-sync-lock-flush-local-no.c,sync,TN,TN,TO,TN
007-MPI-sync-lockall-flushlocalall-local-yes.c,sync,TP,TP,TP,TP
008-MPI-sync-lockall-flushlocalall-local-no.c,sync,TN,FP,FP,TN
009-MPI-sync-request-local-yes.c,sync,TP,FN,FN,TP
010-MPI-sync-request-local-no.c,sync,TN,TN,TN,TN
011-MPI-sync-pscw-local-yes.c,sync,TP,TP,FN,TP
012-MPI-sync-pscw-local-no.c,sync,TN,FP,TN,TN
001-MPI-static-put-load-deep-nesting-local-no.c,static,TN,TN,TN,TN
002-MPI-static-get-load-deep-nesting-local-yes.c,static,TP,FN,FN,TP
003-MPI-static-put-load-aliasing-local-no.c,static,TN,TN,TN,TN
004-MPI-static-get-load-aliasing-local-yes.c,static,TP,TP,TP,TP
005-MPI-static-put-load-retval-local-no.c,static,TN,TN,TN,TN
006-MPI-static-get-load-retval-local-yes.c,static,TP,TP,TP,TP
007-MPI-static-put-load-memcpy-local-no.c,static,TN,TN,TN,TN
008-MPI-static-get-load-memcpy-local-yes.c,static,TP,TP,TP,TP
019-MPI-static-get-get-recursive-local-yes.c,static,TP,FN,TP,TP
020-MPI-static-get-get-recursive-local-no.c,static,FP,TN,TN,TN
021-MPI-static-win-in-array-local-yes.c,static,FN,TP,TO,TO
022-MPI-static-win-in-array-local-no.c,static,TN,FP,TO,TO
025-MPI-static-mult-win-local-yes.c,static,TP,TP,TO,TO
026-MPI-static-mult-win-local-no.c,static,TN,FP,TO,TO
029-MPI-static-flush-multiple-wins-local-yes.c,static,TP,FN,FN,FN
030-MPI-static-flush-multiple-wins-local-no.c,static,TN,FP,TO,TN
031-MPI-static-get-store-same-array-local-no.c,static,FP,FP,TN,TN
032-MPI-static-get-store-same-array-local-yes.c,static,TP,TP,TP,TP
033-MPI-static-get-get-same-array-local-yes.c,static,TP,TP,TP,TP
034-MPI-static-get-get-same-array-local-no.c,static,FP,FP,TN,TN
035-MPI-static-index-loop-local-no.c,static,FP,FP,TO,TO
036-MPI-static-index-loop-local-yes.c,static,TP,TP,TP,FN
037-MPI-static-loop-array-bounds-local-yes.c,static,TP,TP,FN,FN
038-MPI-static-loop-array-bounds-local-no.c,static,FP,FP,TN,TN
001-MPI-dynamic-put-store-local-impossible-yes.c,dynamic,TP,TP,FN,FN
002-MPI-dynamic-put-store-local-yes.c,dynamic,TP,TP,FN,FN
003-MPI-dynamic-get-loop-local-yes.c,dynamic,TP,TP,TP,TP
004-MPI-dynamic-while-local-no.c,dynamic,TN,TN,FP,TO
005-MPI-dynamic-get-loop-local-impossible-yes.c,dynamic,TP,TP,FN,FN
006-MPI-dynamic-get-loop-local-no.c,dynamic,TN,TN,TO,TO
007-MPI-dynamic-win-in-array-local-yes.c,dynamic,FN,TP,TP,TP
008-MPI-dynamic-win-in-array-local-no.c,dynamic,TN,FP,TN,TN
001-MPI-p2p-get-recv-local-yes.c,rma+nonrma,TP,FN,FN,FN
002-MPI-p2p-put-send-local-no.c,rma+nonrma,TN,TN,TN,TN
003-MPI-p2p-put-irecv-local-yes.c,rma+nonrma,TP,FN,FN,FN
004-MPI-p2p-get-isend-local-no.c,rma+nonrma,TN,TN,TN,TN
009-MPI-coll-get-reduce-local-yes.c,rma+nonrma,TP,FN,FN,FN
010-MPI-coll-put-allreduce-local-no.c,rma+nonrma,TN,TN,TN,TN
011-MPI-coll-get-broadcast-local-yes.c,rma+nonrma,TP,FN,FN,FN
012-MPI-coll-put-ireduce-local-yes.c,rma+nonrma,TP,FN,FN,FN
013-MPI-coll-put-ireduce-wait-local-no.c,rma+nonrma,TN,TN,TN,FP
014-MPI-coll-get-ibroadcast-waitall-local-no.c,rma+nonrma,TN,TN,TN,TN
