,discipline,SPMDIR
001-nvshmem-conflict-putnbi-load-local-no.cu,conflict,TN
002-nvshmem-conflict-putnbi-store-local-yes.cu,conflict,TP
003-nvshmem-conflict-putnbi-putnbi-local-no.cu,conflict,TN
004-nvshmem-conflict-getnbi-load-local-yes.cu,conflict,TP
005-nvshmem-conflict-getnbi-store-local-yes.cu,conflict,TP
006-nvshmem-conflict-getnbi-putnbi-local-yes.cu,conflict,TP
007-nvshmem-conflict-getnbi-getnbi-local-yes.cu,conflict,TP
008-nvshmem-conflict-put_signal_nbi-store-local-yes.cu,conflict,TP
009-nvshmem-conflict-put_signal_nbi-load-local-no.cu,conflict,TN
001-nvshmem-sync-barrierall-local-yes.cu,sync,TP
002-nvshmem-sync-barrierall-local-no.cu,sync,TN
003-nvshmem-sync-quiet-local-yes.cu,sync,TP
004-nvshmem-sync-quiet-local-no.cu,sync,TN
005-nvshmem-sync-waituntil-local-no.cu,sync,TN
006-nvshmem-sync-waituntil-local-yes.cu,sync,TP
