,discipline,SPMDIR,RMASanitizer-NoOpt
001-shmem-conflict-putnbi-load-local-no.c,conflict,TN,TN
002-shmem-conflict-putnbi-store-local-yes.c,conflict,TP,TP
003-shmem-conflict-putnbi-putnbi-local-no.c,conflict,TN,TN
004-shmem-conflict-getnbi-load-local-yes.c,conflict,TP,TP
005-shmem-conflict-getnbi-store-local-yes.c,conflict,TP,TP
006-shmem-conflict-getnbi-putnbi-local-yes.c,conflict,TP,TP
007-shmem-conflict-getnbi-getnbi-local-yes.c,conflict,TP,TP
008-shmem-conflict-put_signal_nbi-store-local-yes.c,conflict,TP,TP
009-shmem-conflict-put_signal_nbi-load-local-no.c,conflict,TN,TN
010-shmem-conflict-atomicfetchnbi-store-local-yes.c,conflict,TP,TP
011-shmem-conflict-atomicfetchnbi-load-local-yes.c,conflict,TP,TP
012-shmem-conflict-atomicfetchincnbi-store-local-yes.c,conflict,TP,TP
013-shmem-conflict-atomicfetchincnbi-load-local-yes.c,conflict,TP,TP
014-shmem-conflict-atomiccompareswapnbi-load-local-yes.c,conflict,TP,TP
015-shmem-conflict-atomiccompareswapnbi-store-local-yes.c,conflict,TP,TP
050-shmem-conflict-put-put-same-array-local-no.c,conflict,TN,TN
001-shmem-sync-barrierall-local-yes.c,sync,TP,TP
002-shmem-sync-barrierall-local-no.c,sync,TN,TN
003-shmem-sync-quiet-local-yes.c,sync,TP,TP
004-shmem-sync-quiet-local-no.c,sync,TN,TN
005-shmem-sync-waituntil-local-no.c,sync,FP,TN
006-shmem-sync-waituntil-local-yes.c,sync,TP,FN
001-shmem-static-putnbi-load-deep-nesting-local-no.c,static,TN,TN
002-shmem-static-getnbi-load-deep-nesting-local-yes.c,static,TP,TP
003-shmem-static-putnbi-load-aliasing-local-no.c,static,TN,TN
004-shmem-static-getnbi-load-aliasing-local-yes.c,static,TP,TP
005-shmem-static-putnbi-load-retval-local-no.c,static,TN,TN
006-shmem-static-getnbi-load-retval-local-yes.c,static,TP,TP
007-shmem-static-putnbi-load-memcpy-local-no.c,static,TN,TN
008-shmem-static-getnbi-load-memcpy-local-yes.c,static,TP,TP
019-shmem-static-get-get-recursive-local-yes.c,static,TP,TP
020-shmem-static-get-get-recursive-local-no.c,static,FP,TN
031-shmem-static-get-store-same-array-local-no.c,static,FP,TN
032-shmem-static-get-store-same-array-local-yes.c,static,TP,TP
033-shmem-static-get-get-same-array-local-yes.c,static,TP,TP
034-shmem-static-get-get-same-array-local-no.c,static,FP,TN
035-shmem-static-index-loop-local-no.c,static,FP,TO
036-shmem-static-index-loop-local-yes.c,static,TP,FN
037-shmem-static-loop-array-bounds-local-yes.c,static,TP,FN
038-shmem-static-loop-array-bounds-local-no.c,static,FP,TN
001-shmem-dynamic-put-store-local-impossible-yes.c,dynamic,TP,TP
002-shmem-dynamic-put-store-local-yes.c,dynamic,TP,TP
003-shmem-dynamic-while-local-no.c,dynamic,TN,TO
004-shmem-dynamic-get-loop-local-yes.c,dynamic,TP,TP
005-shmem-dynamic-get-loop-local-impossible-yes.c,dynamic,TP,FN
006-shmem-dynamic-get-loop-local-no.c,dynamic,TN,TN
009-shmem-coll-get-reduce-local-yes.c,rma+nonrma,TP,FN
010-shmem-coll-put-reduce-local-no.c,rma+nonrma,TN,TN
011-shmem-coll-get-broadcast-local-yes.c,rma+nonrma,TP,FN
012-shmem-coll-put-reduce-local-yes.c,rma+nonrma,TP,FN
013-shmem-coll-put-reduce-quiet-local-no.c,rma+nonrma,TN,TN
