,discipline,SPMDIR,PARCOACH-static,PARCOACH-dynamic,RMASanitizer-NoOpt,MUST-TSan
Correct-fence-accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-fence-bufread_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_accumulate-001.c,RMA,TN,TN,FP,TN,TN
Correct-fence-bufwrite_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-fence-bufwrite_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_put-001.c,RMA,TN,TN,FP,TN,TN
Correct-fence-bufwrite_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-compare_and_swap_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
